reviewer_id,listing_id,id,year,sentiment,weight
Wayne & Kate_980703,(L) 1966675,71350271,2016,Negative,1
Wayne & Kate_980703,(L) 1966675,72578392,2016,Negative,1
Wayne & Kate_980703,(L) 3265015,136469360,2017,Negative,1
Wayne & Kate_980703,(L) 4551693,38919286,2015,Negative,1
Wayne & Kate_980703,(L) 4695350,61602555,2016,Positive,2
Wayne & Kate_980703,(L) 4755217,93671825,2016,Negative,1
Wayne & Kate_980703,(L) 5014943,90650991,2016,Positive,2
Wayne & Kate_980703,(L) 5126717,54196264,2015,Positive,2
Wayne & Kate_980703,(L) 8524883,59327292,2016,Positive,2
Wayne & Kate_980703,(L) 8524883,59876067,2016,Negative,1
Wayne & Kate_980703,(L) 8524883,72184581,2016,Negative,1
Wayne & Kate_980703,(L) 9188113,76937880,2016,Negative,1
Wayne & Kate_980703,(L) 9188113,107978264,2016,Positive,2
Wayne & Kate_980703,(L) 9188113,122497038,2016,Positive,2
Wayne & Kate_980703,(L) 9188113,123803685,2016,Negative,1
Wayne & Kate_980703,(L) 9188113,132621045,2017,Negative,1
Wayne & Kate_980703,(L) 9188113,134361009,2017,Positive,2
Wayne & Kate_980703,(L) 9188113,138986598,2017,Positive,2
Wayne & Kate_980703,(L) 9188113,142563407,2017,Positive,2
Wayne & Kate_980703,(L) 9188113,143906376,2017,Negative,1
Wayne & Kate_980703,(L) 9188113,157453021,2017,Positive,2
Wayne & Kate_980703,(L) 9188113,166895815,2017,Positive,2
Wayne & Kate_980703,(L) 9188113,181014661,2017,Negative,1
Wayne & Kate_980703,(L) 9188113,192682859,2017,Positive,2
Wayne & Kate_980703,(L) 9188113,215810705,2017,Positive,2
Wayne & Kate_980703,(L) 9188113,277669745,2018,Negative,1
Wayne & Kate_980703,(L) 9188113,306658365,2018,Negative,1
Wayne & Kate_980703,(L) 9188113,344523619,2018,Positive,2
Wayne & Kate_980703,(L) 9190138,129981458,2017,Positive,2
Wayne & Kate_980703,(L) 9452970,126050994,2017,Negative,1
Grahame_26701678,(L) 2093730,113152913,2016,Negative,1
Grahame_26701678,(L) 2243800,73055831,2016,Positive,2
Grahame_26701678,(L) 3364972,71001179,2016,Positive,2
Grahame_26701678,(L) 3743191,97035073,2016,Negative,1
Grahame_26701678,(L) 3743191,98755571,2016,Negative,1
Grahame_26701678,(L) 3743191,100321465,2016,Negative,1
Grahame_26701678,(L) 3743191,101900906,2016,Positive,2
Grahame_26701678,(L) 3743191,107981642,2016,Negative,1
Grahame_26701678,(L) 3743191,109304197,2016,Positive,2
Grahame_26701678,(L) 3743191,112061497,2016,Negative,1
Grahame_26701678,(L) 4721317,71859304,2016,Negative,1
Grahame_26701678,(L) 6438273,180608182,2017,Negative,1
Grahame_26701678,(L) 6438273,186194483,2017,Positive,2
Grahame_26701678,(L) 7521604,74017306,2016,Negative,1
Grahame_26701678,(L) 7521604,75117376,2016,Negative,1
Grahame_26701678,(L) 8991803,115443281,2016,Negative,1
Grahame_26701678,(L) 9245388,143674773,2017,Positive,2
Grahame_26701678,(L) 9245388,145980996,2017,Negative,1
Grahame_26701678,(L) 9245388,147633292,2017,Positive,2
Grahame_26701678,(L) 9245388,160844466,2017,Positive,2
Grahame_26701678,(L) 9245388,183632581,2017,Positive,2
Grahame_26701678,(L) 9245388,193774022,2017,Negative,1
Grahame_26701678,(L) 9245388,200548806,2017,Positive,2
Grahame_26701678,(L) 10106158,241364799,2018,Positive,2
Grahame_26701678,(L) 10211390,70042107,2016,Negative,1
Grahame_26701678,(L) 10211390,81826528,2016,Negative,1
Grahame_26701678,(L) 10211390,84628778,2016,Negative,1
Grahame_26701678,(L) 10211390,86240989,2016,Positive,2
Grahame_26701678,(L) 10211390,106542219,2016,Negative,1
Grahame_26701678,(L) 12810756,81554539,2016,Positive,2
Grahame_26701678,(L) 12810756,103300124,2016,Negative,1
Grahame_26701678,(L) 12810756,104998663,2016,Positive,2
Grahame_26701678,(L) 15167430,169851788,2017,Negative,1
Grahame_26701678,(L) 16987558,177773792,2017,Positive,2
Grahame_26701678,(L) 17275276,213911213,2017,Positive,2
Grahame_26701678,(L) 17275276,237409878,2018,Negative,1
Grahame_26701678,(L) 21940524,217134803,2017,Positive,2
Grahame_26701678,(L) 21940524,220314017,2017,Negative,1
Grahame_26701678,(L) 21940524,226646171,2018,Positive,2
Grahame_26701678,(L) 21940524,228267053,2018,Negative,1
Lisa_10572577,(L) 1060458,106910602,2016,Negative,1
Lisa_10572577,(L) 1349941,24203218,2014,Negative,1
Lisa_10572577,(L) 1349941,137356793,2017,Positive,2
Lisa_10572577,(L) 1349941,213397432,2017,Negative,1
Lisa_10572577,(L) 2142898,23352575,2014,Positive,2
Lisa_10572577,(L) 2546323,90415636,2016,Positive,2
Lisa_10572577,(L) 4002622,57391616,2015,Negative,1
Lisa_10572577,(L) 4464899,39584429,2015,Positive,2
Lisa_10572577,(L) 4521519,228710937,2018,Positive,2
Lisa_10572577,(L) 4590927,23926252,2014,Negative,1
Lisa_10572577,(L) 5144118,29345774,2015,Negative,1
Lisa_10572577,(L) 5185720,214921596,2017,Negative,1
Lisa_10572577,(L) 7423995,60506895,2016,Positive,2
Lisa_10572577,(L) 8332544,70289409,2016,Negative,1
Lisa_10572577,(L) 8332544,95195866,2016,Positive,2
Lisa_10572577,(L) 8332544,195312701,2017,Negative,1
Lisa_10572577,(L) 8332544,217566077,2017,Negative,1
